Size,Chest (Inches),Waist (Inches),Hips (Inches)
S,35-37.5,29-32,35-37.5
M,37.5-41,32-35,37.5-41
L,41-44,35-38,41-44
XL,44-48.5,38-43,44-47
2XL,48.5-53.5,43-47.5,47-50.5
3XL,53.5-58,47.5-52.5,50.5-53.5
4XL,58-63,52.5-57,53.5-58
S Tall,35-37.5,29-32,35-37.5
M Tall,37.5-41,32-35,37.5-41
L Tall,41-44,35-38,41-44
XL Tall,44-48.5,38-43,44-47
2XL Tall,48.5-53.5,43-47.5,47-50.5
3XL Tall,53.5-58,47.5-52.5,50.5-53.5
4XL Tall,58-63,52.5-57,53.5-58
