Size,Neck (Inches),Chest (Inches),Waist (Inches),Seat (Inches)
XS,14.75-14.9,32-34,26-28,32-34
S,15-15.25,35-37,29-31,35-37
M,15.4-15.75,38-40,32-34,38-40
L,16.1-16.5,41-43,35-37,41-43
XL,16.9-17.25,44-46,38-40,44-46
XXL,17.6-18,47-49,41-43,47-49
3XL,18.4-18.75,50-52,44-46,50-52
4XL,19.1-19.5,54-56,48-50,54-56
